Team,Duplication,Method,Target,SectorsAffected,TargetAmount,Title,imgCol,imgRow,bgCol,bgRow,MeeplesChanged,MeepleIChange,BlueCost,BlackCost,PurpleCost,FacilityPoint,CardsDrawn,CardsRemoved,Effect,EffectCount,PrerequisiteEffect,Duration,DoomEffect,DiceRoll,FlavourText,Description
Blue,2,DrawAndDiscardCards,Hand,Any,1,Quick Meeting,,,,,None,None,0,0,2,0,2,0,None,0,None,0,FALSE,-1,You have been attacked! Get everyone on the same page.,Draw 2 cards.
Blue,2,DrawAndDiscardCards,Hand,Any,1,Virtual Meeting,,,,,None,None,0,0,1,0,3,1,None,0,None,0,FALSE,-1,Lets meet to talk about this.,Draw 3 cards and discard 1 of them.
Blue,2,ShuffleAndDrawCards,Hand,Any,1,Weekly meeting,,,,,None,None,0,0,1,0,2,1,None,0,None,0,FALSE,-1,Lets talk about it during our weekly meeting.,Shuffle 1 card from your hand into the deck. Draw 2 cards.
Blue,2,ShuffleAndDrawCards,Hand,Any,1,Emergency meeting,,,,,None,None,0,0,2,0,5,-1,None,0,None,0,FALSE,-1,They are breaching our system!,Add your hand to the deck and shuffle it. Then draw 5 cards.
Blue,3,ReduceCardCost,Card,Any,3,Training,,,,,None,None,0,0,0,0,0,0,None,0,None,0,FALSE,-1,Basic training lets your workers go over the fundamentals and new techniques.,Use any 2 meeples to target 3 cards in your hand and decrease their meeple cost of a color of your choosing by 1. 
Blue,4,ChangeNetworkPoints,Facility,Any,1,Network restore,,,,,None,None,1,0,0,1,0,0,None,0,None,0,FALSE,-1,Patch and fix your network after an attack.,Restore 1 Network point to one of your facilities.
Blue,4,ChangePhysicalPoints,Facility,Any,1,Physical restore,,,,,None,None,0,1,0,1,0,0,None,0,None,0,FALSE,-1,Patch and fix your financial system after an attack.,Restore 1 Physical point to one of your facilities.
Blue,4,ChangeFinancialPoints,Facility,Any,1,Financial restore,,,,,None,None,0,0,1,1,0,0,None,0,None,0,FALSE,-1,Patch and fix your security system after an attack.,Restore 1 Financial point to one of your facilities.
Blue,3,ChangeNetworkPoints;ChangePhysicalPoints;ChangeFinancialPoints,Sector,Any,1,Harden New Servers,,,,,None,None,2,1,1,1,0,0,None,0,None,0,FALSE,-1,Buy new servers and swap out all of their default names and passwords for new ones.,Restore 1 Physical; Network; and Financial point to your Sector. 
Blue,4,ChangeNetworkPoints;ChangeFinancialPoints,Facility ,Any,1,Enhance Encryption,,,,,None,None,2,0,0,1,0,0,None,0,None,0,FALSE,-1,Patch and fix the encryption of your server after an attack.,Restore 1 Financial and Network point to one of your facilities. 
Blue,4,ChangeNetworkPoints;ChangePhysicalPoints,Facility,Any,1,Review Access Privilege,,,,,None,None,0,2,0,1,0,0,None,0,None,0,FALSE,-1,Review who should have access to what to prevent people from having access to too much.,Restore 1 Physical and Network point to one of your facilities. 
Blue,3,AddEffect,Facility,Any,1,Defense in Depth,,,,,None,None,1,0,1,0,0,0,Fortify,1,None,3,FALSE,-1,Create multiple layers of defense to protect against incoming attacks.,Fortify one of your facilities. 
Blue,2,ChangeNetworkPoints;AddEffect,Facility,Any,2,Hire Cybersec Expert,,,,,None,None,2,0,2,1,0,0,Fortify,2,None,3,FALSE,-1,Best to hire a professional in a dire situation.,Fortify and restore 1 network point on 2 facilities in your sector.
Blue,2,RemoveEffectByTeam,Effect,Any,2,Threat Hunting,,,,,None,None,2,1,0,0,0,0,Backdoor,2,None,0,FALSE,-1,Try connecting isolated attacks in the system to figure out where the backdoor to your system is before it gets worse.,Remove up to 2 red effects from your facilities.
Blue,4,ChangeNetworkPoints;ChangeFinancialPoints;ChangePhysicalPoints,Sector,Any,1,Friendly Restore,,,,,None,None,2,0,0,1,0,0,None,0,None,0,TRUE,-1,Come together when needed.,If the Doom clock is active you can target an allied facility if not then target one of your facilities. Restore 1 Physical; Network; and Financial point on the targeted facility. 
Blue,4,AddEffect,Facility,Any,1,Tech Support,,,,,None,None,2,0,0,0,0,0,Fortify,1,None,3,TRUE,-1,Defend each other to stop a crisis.,If the Doom clock is active you can add the Fortified effect to an allied facility.  If not then you can add the Fortified effect to one of your facilities.
Blue,4,NegateEffect,Effect,Any,1,Antivirus Deployment,,,,,None,None,1,1,0,0,0,0,Backdoor,1,None,0,TRUE,-1,Find a purge the virus in the system.,Remove an effect on 1 facility. This card can target an allied facility as well if the Doom clock is active. 
Blue,2,ChangeNetworkPoints;ChangeFinancialPoints;ChangePhysicalPoints;NegateEffect,Sector,Any,1,System Overhaul,,,,,None,None,2,2,2,1,0,0,Backdoor,3,None,0,FALSE,-1,Sometimes its best to do a complete overhaul to purge any and all threats already in your system.,Remove all backdoor effects on your sector and restore 1 Physical; Network; and Financial point to your Sector. 
Red,6,DrawAndDiscardCards,Hand,Any,1,Update software,,,,,None,None,0,0,1,0,2,0,None,0,None,0,FALSE,-1,Update software in order to get newer and faster ways to break encryption.,Draw 2 cards.
Red,6,DrawAndDiscardCards,Hand,Any,1,Update methods,,,,,None,None,0,0,1,0,3,1,None,0,None,0,FALSE,-1,Constantly changing and adapting.,Draw 3 cards and discard 1 of them.
Red,8,ChangeNetworkPoints;ChangeFinancialPoints,Facility,Any,1,Phishing,,,,,None,None,0,0,1,-1,0,0,None,0,None,0,FALSE,-1,Someone got an email that looked a bit weird and clicked on it.,Reduce 1 Network and Financial point of a facility.
Red,8,ChangeNetworkPoints,Sector,Any,1,Denial of Service,,,,,None,None,1,0,0,-2,0,0,None,0,None,0,FALSE,-1,Wreck their servers and prevent them from having any access to it.,Reduce 2 Network points for each facility with a Backdoor in a Sector.
Red,8,ChangeNetworkPoints;ChangePhysicalPoints,Facility,Any,1,Keylogging,,,,,None,None,1,1,0,-1,0,0,None,0,Backdoor,0,FALSE,-1,Monitor their every keystroke.,If a facility has a Backdoor; reduce 1 Physical and Network point per turn from the targeted facility.
Red,8,ChangeNetworkPoints;AddEffect,Facility,Any,1,Backdoor injection,,,,,None,None,1,0,0,-1,0,0,Backdoor,1,None,3,FALSE,-1,Inject their servers with trojans and other viruses to get their data and passwords.,Reduce 1 Network point from and add a Backdoor effect for 3 turns from a facility.
